case_id,variant,zone,airfoil_id,local_Cl_max,local_Cl_mean,safe_clmax,usable_clmax,stall_margin_cl,stall_utilization
policy_A_performance_candidate,monotone,mid1,dae11,1.3476,1.3154166666666667,1.4856769874299949,1.7063077638111055,0.13807698742999497,0.9070612329609762
policy_A_performance_candidate,monotone,mid2,clarkysm,1.1821,1.06086,1.3045686577153306,1.5050762863503673,0.12246865771533066,0.9061232561498082
policy_A_performance_candidate,monotone,tip,clarkysm,0.9157,0.6124545454545455,1.3045686577153306,1.5050762863503673,0.38886865771533063,0.7019178289961757
policy_A_performance_candidate,smooth_monotone,root,dae11,1.3065,1.2792000000000001,1.4856769874299949,1.7063077638111055,0.17917698742999488,0.879397076924544
policy_A_performance_candidate,smooth_monotone,mid1,dae11,1.309,1.2873833333333333,1.4856769874299949,1.7063077638111055,0.17667698742999494,0.8810798114766384
policy_A_performance_candidate,smooth_monotone,mid2,clarkysm,1.1792,1.06758,1.3045686577153306,1.5050762863503673,0.12536865771533057,0.9039002991725352
policy_A_performance_candidate,smooth_monotone,tip,clarkysm,0.944,0.6072636363636364,1.3045686577153306,1.5050762863503673,0.36056865771533064,0.7236108229468057
policy_C_conservative_baseline,raw,root,cst_root_nsga2_g05_child_0019_00cc4dca,1.3592,1.3138500000000002,1.6370153344478995,1.8744614827198884,0.2778153344478995,0.8302915503588757
policy_C_conservative_baseline,raw,mid1,cst_mid1_nsga2_g06_child_0001_a86879e2,1.3643,1.3317,1.7084882145574651,1.9538757939527391,0.34418821455746507,0.7985422365663686
policy_C_conservative_baseline,raw,mid2,clarkysm,1.1791,1.03718,1.3045686577153306,1.5050762863503673,0.12546865771533056,0.9038236454836638
policy_C_conservative_baseline,raw,tip,clarkysm,0.8734,0.5858727272727272,1.3045686577153306,1.5050762863503673,0.43116865771533064,0.6694933186035381
policy_C_conservative_baseline,monotone,root,cst_root_nsga2_g05_child_0019_00cc4dca,1.3591,1.3133916666666667,1.6370153344478995,1.8744614827198884,0.2779153344478995,0.8302304635761831
policy_C_conservative_baseline,monotone,mid1,cst_mid1_nsga2_g06_child_0001_a86879e2,1.3651,1.3295666666666668,1.7084882145574651,1.9538757939527391,0.34338821455746515,0.7990104867967087
policy_C_conservative_baseline,monotone,mid2,clarkysm,1.1757,1.03606,1.3045686577153306,1.5050762863503673,0.12886865771533063,0.9012174200620332
policy_C_conservative_baseline,monotone,tip,clarkysm,0.8794,0.5862545454545454,1.3045686577153306,1.5050762863503673,0.42516865771533063,0.6740925399358272
policy_C_conservative_baseline,smooth_monotone,root,cst_root_nsga2_g05_child_0019_00cc4dca,1.3253,1.3009333333333333,1.6370153344478995,1.8744614827198884,0.31171533444789956,0.809583131026058
policy_C_conservative_baseline,smooth_monotone,mid1,cst_mid1_nsga2_g06_child_0001_a86879e2,1.326,1.2999666666666667,1.7084882145574651,1.9538757939527391,0.38248821455746507,0.776124756788833
policy_C_conservative_baseline,smooth_monotone,mid2,clarkysm,1.1724,1.04114,1.3045686577153306,1.5050762863503673,0.13216865771533048,0.8986878483292744
policy_C_conservative_baseline,smooth_monotone,tip,clarkysm,0.9041,0.5797090909090911,1.3045686577153306,1.5050762863503673,0.4004686577153306,0.6930260010870837
old_fx_clark_baseline,raw,root,fx76mp140,1.1599,1.1553166666666665,1.4854704323985415,1.7060782582206018,0.32557043239854155,0.7808300823107913
old_fx_clark_baseline,raw,mid1,fx76mp140,1.1528,1.15065,1.4854704323985415,1.7060782582206018,0.33267043239854144,0.7760504516664198
old_fx_clark_baseline,raw,mid2,clarkysm,1.1494,1.1371833333333334,1.3045686577153306,1.5050762863503673,0.15516865771533062,0.8810574998888331
old_fx_clark_baseline,raw,tip,clarkysm,1.0969,0.5772500000000002,1.3045686577153306,1.5050762863503673,0.2076686577153306,0.8408143132313042
old_fx_clark_baseline,monotone,root,fx76mp140,1.1631,1.1563666666666665,1.4854704323985415,1.7060782582206018,0.32237043239854146,0.7829842820378321
old_fx_clark_baseline,monotone,mid1,fx76mp140,1.1518,1.1492999999999998,1.4854704323985415,1.7060782582206018,0.33367043239854155,0.7753772642517195
old_fx_clark_baseline,monotone,mid2,clarkysm,1.144,1.130175,1.3045686577153306,1.5050762863503673,0.1605686577153307,0.8769182006897729
old_fx_clark_baseline,monotone,tip,clarkysm,1.0366,0.536825,1.3045686577153306,1.5050762863503673,0.2679686577153306,0.7945921388417995
old_fx_clark_baseline,smooth_monotone,root,fx76mp140,1.1613,1.1574333333333333,1.4854704323985415,1.7060782582206018,0.3241704323985415,0.7817725446913717
old_fx_clark_baseline,smooth_monotone,mid1,fx76mp140,1.1615,1.15806,1.4854704323985415,1.7060782582206018,0.3239704323985415,0.7819071821743118
old_fx_clark_baseline,smooth_monotone,mid2,clarkysm,1.1454,1.121125,1.3045686577153306,1.5050762863503673,0.15916865771533062,0.8779913523339737
old_fx_clark_baseline,smooth_monotone,tip,clarkysm,1.0157,0.5419,1.3045686577153306,1.5050762863503673,0.28886865771533055,0.7785715178676594
