case_id,variant,eta,y_m,chord_m,cl,airfoil_id,Re,profile_cd_station,profile_lookup_status
raw_best_tier2,smooth_monotone,0.10750230846847773,1.8454,1.1995,1.3577,cst_root_nsga2_g04_child_0066_2124fc90,502557.3377473449,0.010753288444026423,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.1415111128923952,2.4292,1.1814,1.3647,cst_root_nsga2_g04_child_0066_2124fc90,494973.9381531581,0.010825090622331156,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.17620149150569234,3.0247,1.1627,1.365,cst_root_nsga2_g04_child_0066_2124fc90,487139.1551470095,0.010827353827477187,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.21078118713097052,3.6183,1.1437,1.3575,cst_root_nsga2_g04_child_0066_2124fc90,479178.68043487985,0.011006219795913973,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.24797649652574838,4.2568,1.1233,1.3478,cst_root_nsga2_g04_child_0066_2124fc90,470631.64442817215,0.010954671088240697,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.2874262436238589,4.934,1.1017,1.3356,dae21,461581.8415975404,0.010364686493568968,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.328757601518291,5.6435,1.079,1.3209,dae21,452071.1691783119,0.010285136539109918,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.37770278390434003,6.4837,1.0515,1.3067,dae21,440549.42946338735,0.010216776997237975,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.43406955190807855,7.4513,1.0194,1.2909,dae21,427100.4169234209,0.010140714971774824,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.4912635296117479,8.4331,0.9868,1.2691,dae21,413441.91820681945,0.01052461385626464,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.5430806442658668,9.3226,0.9565,1.2272,dae21,400747.055902739,0.010359513665920497,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.5890140842937169,10.1111,0.9289,1.1667,cst_mid2_nsga2_g01_child_0046_9585b968,389183.41895248735,2.087629038796507e-05,clamped_high_cl
raw_best_tier2,smooth_monotone,0.6342892518138756,10.8883,0.9017,1.1003,cst_mid2_nsga2_g01_child_0046_9585b968,377787.37094354385,0.011594442934604241,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.6784575894538452,11.6465,0.8751,1.0314,cst_mid2_nsga2_g01_child_0046_9585b968,366642.7063465623,0.01155204117864857,interp_clean_nearest_re
raw_best_tier2,smooth_monotone,0.7213909379643405,12.3835,0.8484,0.9665,cst_mid2_nsga2_g01_child_0046_9585b968,355456.14451425377,0.012019314527070214,interp_clean_nearest_re
