case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.8646810737738391,14.73714,0.90927,0.8668951589809394,0.02853838199093016,-0.17740114113677574,0.7882417612065987,0.5089043310128013,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.8807271302037616,15.01062,0.88508,0.8554523634686961,0.0286749920448505,-0.1799658003238479,0.7571437778588735,0.4888268634257048,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.8967731866336843,15.2841,0.86088,0.8401964327677316,0.029546940638798844,-0.18044283270046582,0.7233083050410848,0.466982018980416,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9098081138549494,15.50626,0.82948,0.8324272796860266,0.030916600962320923,-0.18393138907543463,0.6904817799539653,0.4457885709659852,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9198319118675572,15.6771,0.79088,0.8323038897399468,0.030777872476213275,-0.19143308063912468,0.6582525003175291,0.42498071632085915,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.929855123144154,15.84793,0.75227,0.8303396528755723,0.02879168701789033,-0.202377567715058,0.6246396106687068,0.40327957593220926,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9398789211567617,16.01877,0.71367,0.8253153310920781,0.028672873612663206,-0.20995103803445742,0.5890027923404834,0.3802717475180079,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9499021324333584,16.1896,0.67507,0.8166437221746078,0.029647280315276768,-0.21452925473294834,0.5512916775284125,0.3559247126364675,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9599235835019221,16.3604,0.65478,0.781521950237598,0.03076041550399798,-0.20711679889718296,0.5117249425765744,0.33037965302150457,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9699426876264415,16.53116,0.65282,0.7224897605236904,0.032967702637974314,-0.1890458738784681,0.47165576546507554,0.3045102069001182,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9799617917509611,16.70192,0.65085,0.649187490436463,0.034716516043201445,-0.1672945265370557,0.42252367815057196,0.27278956831358114,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,0.9899808958754804,16.87268,0.64888,0.5532115733728975,0.033188549556269265,-0.14577020929936133,0.35896792573020575,0.2317567288228245,linearly_interpolated_to_CL_req
policy_A_performance_candidate,VSPAERO_thin_vlm,5.110167565339105,1.0,17.04344,0.64692,0.5357640201170635,0.05723751916233622,-0.1655035075076219,0.34659645989413074,0.22376946799142924,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.0006586079475911268,0.0113,1.2579,1.2825,0.0136,-0.1447,1.61325675,1.0,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.005915814750486671,0.1015,1.2524,1.276,0.0194,-0.145,1.5980623999999999,0.990581567379154,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.01637777285602714,0.281,1.2414,1.2814,0.0196,-0.1463,1.5907299600000002,0.9860364508005315,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.03195122804154476,0.5482,1.225,1.2895,0.0194,-0.1472,1.5796375000000002,0.9791606326767269,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.05247298541737093,0.9003,1.2035,1.2999,0.0187,-0.1477,1.5644296500000001,0.9697338318900574,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.07775653653817012,1.3341,1.177,1.3124,0.0178,-0.1481,1.5446948,0.9575009061638825,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.10755708906943942,1.8454,1.1457,1.327,0.0167,-0.1484,1.5203438999999999,0.9424066565969738,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.14158322356534206,2.4292,1.11,1.3442,0.0157,-0.1488,1.4920620000000002,0.9248757211150676,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.1762912795645028,3.0247,1.0808,1.3549,0.0148,-0.149,1.46437592,0.9077141130821241,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.21088859617424552,3.6183,1.06,1.3567,0.014,-0.1486,1.438102,0.8914278523861748,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.24810285940760257,4.2568,1.0376,1.3592,0.0135,-0.1484,1.41030592,0.8741980592983728,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.2875727091517363,4.934,1.0138,1.3618,0.0131,-0.1482,1.38059284,0.8557799866636232,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.32892512851597566,5.6435,0.989,1.3643,0.013,-0.1482,1.3492927000000001,0.8363781524546543,trimmed_to_CL_req
