zone,airfoil,point,Re,cl_target,clean_clmax,rough_clmax,raw_clmax_mode,safe_clmax,utilization,required_utilization_limit,pass_fail,status,robust_pass_rate,mean_cd,mean_cm,tc,cm_pass,tc_pass,zone_worst_utilization,zone_worst_margin,clean_clmax_lower_bound_count,rough_clmax_lower_bound_count
mid2,DAE31,1,348140.954004,1.223509,1.6310507925878173,1.5935021599107275,min,1.4195236071178694,0.8619152185035881,0.75,fail,ok,1.0,0.026384585835165238,-0.15518389886736136,0.11089577573807295,True,True,0.8619152185035881,-0.1119152185035881,0,0
mid2,DAE41,1,348140.954004,1.223509,1.3348822264442775,1.3351359748574418,min,1.1815932683287353,1.0354739086577152,0.75,fail,ok,1.0,0.024615000717799946,-0.03805471323421584,0.11700965321870367,True,True,1.0354739086577152,-0.28547390865771516,0,0
tip,FX 76-MP-140,1,329708.501143,1.011918,1.7926451294639156,1.6494535858341846,min,1.4612550623274498,0.692499226239287,0.75,pass,ok,1.0,0.021148460068141316,-0.20150424999913638,0.14065094222638733,False,True,0.692499226239287,0.05750077376071305,0,0
tip,FX 76-MP-140,2,309227.087522,0.806613,1.7926451294639156,1.6494535858341846,min,1.4555953515600424,0.5541464522647095,0.75,pass,ok,1.0,0.021148460068141316,-0.20150424999913638,0.14065094222638733,False,True,0.692499226239287,0.05750077376071305,0,0
tip,FX 76-MP-140,3,265101.29479,0.665262,1.7926451294639156,1.6494535858341846,min,1.4532916930415238,0.4577621981776455,0.75,pass,ok,1.0,0.021148460068141316,-0.20150424999913638,0.14065094222638733,False,True,0.692499226239287,0.05750077376071305,0,0
tip,DAE11,1,329708.501143,1.011918,1.6190575914556848,1.4970951653294393,min,1.3210853154630844,0.7659747543596677,0.75,fail,ok,1.0,0.020396538325791344,-0.12408226551347651,0.1287436849720296,True,True,0.7659747543596677,-0.015974754359667664,0,0
tip,DAE11,2,309227.087522,0.806613,1.6190575914556848,1.4970951653294393,min,1.315425604695677,0.6131954533351276,0.75,pass,ok,1.0,0.020396538325791344,-0.12408226551347651,0.1287436849720296,True,True,0.7659747543596677,-0.015974754359667664,0,0
tip,DAE11,3,265101.29479,0.665262,1.6190575914556848,1.4970951653294393,min,1.3131219461771584,0.5066262139146724,0.75,pass,ok,1.0,0.020396538325791344,-0.12408226551347651,0.1287436849720296,True,True,0.7659747543596677,-0.015974754359667664,0,0
tip,DAE21,1,329708.501143,1.011918,1.6118916592720032,1.5576646089081783,min,1.3768092035555242,0.7349732972344932,0.75,pass,ok,1.0,0.018620941185048444,-0.1431277879302255,0.11817758812909968,True,True,0.7349732972344932,0.015026702765506772,0,0
tip,DAE21,2,309227.087522,0.806613,1.6118916592720032,1.5576646089081783,min,1.3711494927881167,0.588275023432945,0.75,pass,ok,1.0,0.018620941185048444,-0.1431277879302255,0.11817758812909968,True,True,0.7349732972344932,0.015026702765506772,0,0
tip,DAE21,3,265101.29479,0.665262,1.6118916592720032,1.5576646089081783,min,1.3688458342695982,0.486002136504274,0.75,pass,ok,1.0,0.018620941185048444,-0.1431277879302255,0.11817758812909968,True,True,0.7349732972344932,0.015026702765506772,0,0
tip,DAE31,1,329708.501143,1.011918,1.629060238823805,1.5848883749841824,min,1.401855068345448,0.7218420954131338,0.75,pass,ok,1.0,0.01863231628801495,-0.15823315851331632,0.11089577573807295,True,True,0.7218420954131338,0.028157904586866178,0,0
tip,DAE31,2,309227.087522,0.806613,1.629060238823805,1.5848883749841824,min,1.3961953575780406,0.5777221616029576,0.75,pass,ok,1.0,0.01863231628801495,-0.15823315851331632,0.11089577573807295,True,True,0.7218420954131338,0.028157904586866178,0,0
tip,DAE31,3,265101.29479,0.665262,1.629060238823805,1.5848883749841824,min,1.393891699059522,0.47726950411489033,0.75,pass,ok,1.0,0.01863231628801495,-0.15823315851331632,0.11089577573807295,True,True,0.7218420954131338,0.028157904586866178,0,0
tip,DAE41,1,329708.501143,1.011918,1.3272661574231341,1.3218400084021504,min,1.1598505710899785,0.8724554914423522,0.75,fail,ok,1.0,0.017284249407556306,-0.06106125445588425,0.11700965321870367,True,True,0.8724554914423522,-0.12245549144235224,0,0
tip,DAE41,2,309227.087522,0.806613,1.3272661574231341,1.3218400084021504,min,1.154190860322571,0.6988558198897619,0.75,pass,ok,1.0,0.017284249407556306,-0.06106125445588425,0.11700965321870367,True,True,0.8724554914423522,-0.12245549144235224,0,0
tip,DAE41,3,265101.29479,0.665262,1.3272661574231341,1.3218400084021504,min,1.1518872018040525,0.5775409249777981,0.75,pass,ok,1.0,0.017284249407556306,-0.06106125445588425,0.11700965321870367,True,True,0.8724554914423522,-0.12245549144235224,0,0
