z_state,case_label,shape_name,station_index,eta,y_m,main_z_m,rear_z_m,main_slope_dzdy,main_curvature_d2zdy2,eta_at_max_abs_curvature,eta_at_max_abs_slope
6deg,target_main_tip_z_1p804m,realizable_loaded,46,0.7796610169491525,13.383772508474577,1.1042108774884531,1.0972948765004331,0.1541453273996598,0.006800395690487071,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,47,0.7966101694915254,13.674724084745764,1.149347539805478,1.14188498802476,0.1561246865588648,0.014121990663596151,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,48,0.8135593220338982,13.965675661016949,1.1950603247867462,1.1870598286619753,0.16236295828698033,0.026074218398757343,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,49,0.8305084745762711,14.256627237288136,1.2438270570887777,1.2354054673617412,0.17129735644518007,0.023574816887655392,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,50,0.847457627118644,14.547578813559323,1.294738796524371,1.2859706677169396,0.1760812185545162,0.011995183770268092,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,51,0.864406779661017,14.83853038983051,1.3462892732691534,1.3371831189618393,0.1782773916964242,0.007551110141632511,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,52,0.8813559322033897,15.129481966101695,1.3984789727795515,1.3890435871561233,0.1804752333511268,0.014676697806496442,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,53,0.8983050847457626,15.420433542372882,1.4513083805119944,1.4415528384738336,0.18681780841893625,0.0227073748312151,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,54,0.9152542372881356,15.711385118644069,1.5071888444495876,1.4971361552113198,0.19368872635137224,0.016618458272688985,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,55,0.9322033898305083,16.002336694915254,1.5640164609877747,1.5536791344949414,0.19648814167820783,0.014529205168592907,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,56,0.9491525423728813,16.29328827118644,1.621525913529329,1.6109153203775304,0.2021433166429114,0.01983813373207033,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,57,0.9661016949152542,16.584239847457628,1.6816442942076562,1.6711574887114558,0.20803201423745676,0.014654576967474464,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,58,0.983050847457627,16.875191423728815,1.742580398443845,1.7322420692417217,0.21067086117945966,0.006654778773044601,0.5254237288135593,1.0
6deg,target_main_tip_z_1p804m,realizable_loaded,59,1.0,17.166143,1.8042343324768007,1.794048719360518,0.2119044509849635,0.004239845754793391,0.5254237288135593,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,0,0.0,0.0,0.07143912961806514,0.0651858601168413,0.024578788252212158,0.001214777508876555,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,1,0.01694915254237288,0.29095157627118645,0.07859036680288199,0.07286436490197444,0.024932229683238577,0.0018237175688688503,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,2,0.03389830508474576,0.5819031525423729,0.08594727267065219,0.08076053294375093,0.025640015254883852,0.0024357602399692688,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,3,0.05084745762711864,0.8728547288135593,0.09351037251093344,0.08887447503234745,0.026349606245714058,0.002441965462185565,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,4,0.06779661016949153,1.1638063050847458,0.1012801916132834,0.09720630196606424,0.02706100265572922,0.00244817068440209,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,5,0.0847457627118644,1.4547578813559323,0.1092572552672598,0.105756124550737,0.027774204484929454,0.0024543759066187262,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,6,0.10169491525423728,1.7457094576271186,0.11744208876242036,0.11452405359914926,0.0284892117333147,0.0024605811288351195,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,7,0.11864406779661016,2.036661033898305,0.12583521738832276,0.12351019993044414,0.029206024400884878,0.002466786351051506,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,8,0.13559322033898305,2.3276126101694916,0.13443716643452475,0.13271467436953677,0.02992464248764007,0.01102304337046136,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,9,0.15254237288135591,2.618564186440678,0.14324846119058396,0.1421375877465261,0.035620368088767645,0.026637074381357893,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,10,0.1694915254237288,2.9095157627118646,0.15516477092009837,0.15452285155407877,0.04542484004465791,0.025586766081728815,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,11,0.1864406779661017,3.200467338983051,0.1696813188163034,0.1693948811096837,0.05050938793508991,0.01085672087621696,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,12,0.20338983050847456,3.491418915254237,0.18455634299251286,0.1846297625195192,0.05174240014880116,0.004241056770496743,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,13,0.22033898305084743,3.7823704915254237,0.19979038458299975,0.20022779371868474,0.05297727223995313,0.004247449165631981,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,14,0.23728813559322032,4.07332206779661,0.21538398472203715,0.2161892726421356,0.054214004208545885,0.00425384156076733,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,15,0.2542372881355932,4.364273644067797,0.23133768454389814,0.23251449722467185,0.05545259605457942,0.004260233955902609,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,16,0.2711864406779661,4.655225220338983,0.24765202518285565,0.2492037654009265,0.05669304777805367,0.004266626351037861,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,17,0.28813559322033894,4.946176796610169,0.2643275477731829,0.2662573751053543,0.05793535937896871,0.004273018746172932,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,18,0.30508474576271183,5.237128372881356,0.2813647934491529,0.28367562427222026,0.05917953085732436,0.004279411141307712,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,19,0.3220338983050847,5.528079949152542,0.29876430334503856,0.30145881083558784,0.06042556221312062,0.010647730361402888,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,20,0.3389830508474576,5.819031525423729,0.3165266185951131,0.319607232729308,0.06537547872204585,0.029134197691653846,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,21,0.3559322033898305,6.109983101694915,0.3368065005123639,0.340084804713219,0.07737884369668668,0.035345972087582084,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,22,0.3728813559322034,6.400934677966102,0.36155361168229866,0.36467509629461714,0.08594341130948457,0.017770674235974282,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,23,0.38983050847457623,6.691886254237288,0.3868172424935987,0.38978021768572757,0.08771965505740364,0.006108269008085282,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,24,0.4067796610169491,6.982837830508474,0.41259795550013123,0.4154008427533223,0.08949783230186625,0.006114914431934654,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,25,0.423728813559322,7.273789406779661,0.4388963132557634,0.4415376453549294,0.09127794304287329,0.0061215598557844975,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,26,0.44067796610169485,7.564740983050847,0.4657128783143623,0.4681912993397441,0.09305998728042408,0.006128205279633897,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,27,0.4576271186440678,7.855692559322034,0.49304821322979536,0.4953624785495409,0.09484396501451908,0.006134850703482797,0.6949152542372881,1.0
7deg,target_main_tip_z_2p108m,requested_loaded,28,0.47457627118644063,8.14664413559322,0.5209028805559295,0.5230518568195839,0.09662987624515751,0.006141496127331836,0.6949152542372881,1.0
