kind,variant_id,station_index,beam,y_m,eta,node_x_m,node_z_m,lift_per_span_npm,aero_torque_per_span_nmpm,torque_about_main_per_span_nmpm,applied_lift_fz_n,torque_main_my_n,main_self_weight_fz_n,rear_self_weight_fz_n,load_fx_n,load_fy_n,load_fz_n,load_mx_nm,load_my_nm,load_mz_nm,reaction_fx_n,reaction_fy_n,reaction_fz_n,reaction_mx_raw_nm,reaction_my_raw_nm,reaction_mz_raw_nm,applied_moment_origin_mx_nm,applied_moment_origin_my_nm,applied_moment_origin_mz_nm,reaction_moment_origin_mx_nm,reaction_moment_origin_my_nm,reaction_moment_origin_mz_nm,station_bending_residual_mx_nm,station_torque_residual_my_nm,station_yaw_residual_mz_nm,station_moment_residual_norm_nm,cumulative_bending_residual_mx_nm,cumulative_torque_residual_my_nm,cumulative_yaw_residual_mz_nm,cumulative_moment_residual_norm_nm,source,reaction_resultant_n,reaction_moment_mx_nm,reaction_moment_my_nm,reaction_moment_mz_nm,reaction_moment_norm_nm,applied_force_n,applied_moment_nm,constraint_force_n,constraint_moment_nm,residual_force_n,residual_moment_nm,force_residual_norm_n,moment_residual_norm_nm,pass_threshold_nm
beam_node,baseline,10,main,2.9095157627118646,0.1694915254237288,0.29158940892415125,0.13308041891798608,73.20121801881218,-45.61271677745989,-45.61271677745989,21.298009767544187,-13.27109184441315,-1.6548966371759048,0.0,0.0,0.0,19.64311313036828,0.0,-13.27109184441315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.15194728153891,-12.827081565544672,0.0,0.0,0.0,-0.0,57.15194728153891,-12.827081565544672,0.0,58.57370655474126,,,,,,,,,,,,,,,,,,,
beam_node,baseline,10,rear,2.9095157627118646,0.1694915254237288,0.8164503449876235,0.13252986290172744,73.20121801881218,-45.61271677745989,-45.61271677745989,0.0,0.0,0.0,-0.5171027430680113,0.0,0.0,-0.5171027430680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5045185818979223,0.259718509133005,0.0,0.0,0.0,0.0,-1.5045185818979223,0.259718509133005,0.0,1.5267710592169363,,,,,,,,,,,,,,,,,,,
station_combined,baseline,10,combined,2.9095157627118646,0.1694915254237288,,,73.20121801881218,-45.61271677745989,-45.61271677745989,,,,,,,,,,,,,,,,,55.64742869964099,-12.567363056411667,0.0,0.0,0.0,0.0,55.64742869964099,-12.567363056411667,0.0,57.04888197917018,121.10028968594568,-507.386932558555,2622.1383466830257,2673.521327507748,,,,,,,,,,,,,,,
beam_node,baseline,11,main,3.200467338983051,0.1864406779661017,0.2892647673444667,0.14348859978976952,72.79667085799547,-45.5408877726699,-45.5408877726699,21.180306133428513,-13.2501930822475,-1.6548966371759035,0.0,0.0,0.0,19.52540949625261,0.0,-13.2501930822475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.49043537302599,-12.763453781668154,0.0,0.0,0.0,-0.0,62.49043537302599,-12.763453781668154,0.0,63.78056338373875,,,,,,,,,,,,,,,,,,,
beam_node,baseline,11,rear,3.200467338983051,0.1864406779661017,0.8099413485645067,0.14324637780719318,72.79667085799547,-45.5408877726699,-45.5408877726699,0.0,0.0,0.0,-0.5171027430680109,0.0,0.0,-0.5171027430680109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.654970440087713,0.2563526892279912,0.0,0.0,0.0,0.0,-1.654970440087713,0.2563526892279912,0.0,1.6747070964316542,,,,,,,,,,,,,,,,,,,
station_combined,baseline,11,combined,3.200467338983051,0.1864406779661017,,,72.79667085799547,-45.5408877726699,-45.5408877726699,,,,,,,,,,,,,,,,,60.83546493293827,-12.507101092440163,0.0,0.0,0.0,0.0,60.83546493293827,-12.507101092440163,0.0,62.10782053287074,181.93575461888395,-519.8940336509951,2622.1383466830257,2679.3655842718135,,,,,,,,,,,,,,,
beam_node,baseline,12,main,3.491418915254237,0.20338983050847456,0.2869401257647821,0.15390765025460873,72.30881205067598,-45.46583672969881,-45.46583672969881,21.038362844441128,-13.228356862994266,-1.6548966371759035,0.0,0.0,0.0,19.383466207265226,0.0,-13.228356862994266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.67580055923712,-12.70009638513533,0.0,0.0,0.0,-0.0,67.67580055923712,-12.70009638513533,0.0,68.85714508695061,,,,,,,,,,,,,,,,,,,
beam_node,baseline,12,rear,3.491418915254237,0.20338983050847456,0.8034323521413899,0.15396887723115762,72.30881205067598,-45.46583672969881,-45.46583672969881,0.0,0.0,0.0,-0.5171027430680109,0.0,0.0,-0.5171027430680109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.805422298277505,0.2529868693229776,0.0,0.0,0.0,0.0,-1.805422298277505,0.2529868693229776,0.0,1.8230611704403858,,,,,,,,,,,,,,,,,,,
station_combined,baseline,12,combined,3.491418915254237,0.20338983050847456,,,72.30881205067598,-45.46583672969881,-45.46583672969881,,,,,,,,,,,,,,,,,65.87037826095961,-12.447109515812352,0.0,0.0,0.0,0.0,65.87037826095961,-12.447109515812352,0.0,67.03608929181749,247.80613287984357,-532.3411431668075,2622.1383466830257,2687.0810336397744,,,,,,,,,,,,,,,
beam_node,baseline,13,main,3.7823704915254237,0.22033898305084743,0.2846154841850976,0.16433757031250368,71.82095324335651,-45.39078568672773,-45.39078568672773,20.89641955545376,-13.206520643741044,-1.6548966371759048,0.0,0.0,0.0,19.241522918277855,0.0,-13.206520643741044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.77856849810432,-12.637398923145593,0.0,0.0,0.0,-0.0,72.77856849810432,-12.637398923145593,0.0,73.86761052163514,,,,,,,,,,,,,,,,,,,
beam_node,baseline,13,rear,3.7823704915254237,0.22033898305084743,0.7969233557182732,0.16469736117401584,71.82095324335651,-45.39078568672773,-45.39078568672773,0.0,0.0,0.0,-0.5171027430680113,0.0,0.0,-0.5171027430680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9558741564672988,0.2496210494179643,0.0,0.0,0.0,0.0,-1.9558741564672988,0.2496210494179643,0.0,1.9717389239575287,,,,,,,,,,,,,,,,,,,
station_combined,baseline,13,combined,3.7823704915254237,0.22033898305084743,,,71.82095324335651,-45.39078568672773,-45.39078568672773,,,,,,,,,,,,,,,,,70.82269434163702,-12.387777873727629,0.0,0.0,0.0,0.0,70.82269434163702,-12.387777873727629,0.0,71.89792121096242,318.6288272214806,-544.728921040535,2622.1383466830257,2697.0100919537012,,,,,,,,,,,,,,,
beam_node,baseline,14,main,4.07332206779661,0.23728813559322032,0.282290842605413,0.1747783599634544,71.3303549552841,-45.29376698016974,-45.29376698016974,20.75367921022316,-13.178292898140215,-1.6548966371759062,0.0,0.0,0.0,19.098782573047256,0.0,-13.178292898140215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79549252284271,-12.568995297383442,0.0,0.0,0.0,-0.0,77.79549252284271,-12.568995297383442,0.0,78.80430381430523,,,,,,,,,,,,,,,,,,,
beam_node,baseline,14,rear,4.07332206779661,0.23728813559322032,0.7904143592951564,0.17543182963602466,71.3303549552841,-45.29376698016974,-45.29376698016974,0.0,0.0,0.0,-0.5171027430680117,0.0,0.0,-0.5171027430680117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.106326014657093,0.24625522951295092,0.0,0.0,0.0,0.0,-2.106326014657093,0.24625522951295092,0.0,2.1206722797461444,,,,,,,,,,,,,,,,,,,
station_combined,baseline,14,combined,4.07332206779661,0.23728813559322032,,,71.3303549552841,-45.29376698016974,-45.29376698016974,,,,,,,,,,,,,,,,,75.68916650818561,-12.322740067870491,0.0,0.0,0.0,0.0,75.68916650818561,-12.322740067870491,0.0,76.68572128815211,394.3179937296662,-557.0516611084056,2622.1383466830257,2709.5023053077875,,,,,,,,,,,,,,,
beam_node,baseline,15,main,4.364273644067797,0.2542372881355932,0.2799662010257284,0.18523001920746088,70.81023446979762,-44.95246991296474,-44.95246991296474,20.60234933511992,-13.078991978460177,-1.6548966371759048,0.0,0.0,0.0,18.947452697944016,0.0,-13.078991978460177,0.0,-44.82907384722695,-1590.7907157023596,-161.87313988765385,-35.01644808052813,81.62753076087088,-753.4640346226722,82.69186843185834,-12.430476132291087,0.0,-490.4247393233362,-92.26911472492476,250.09445539256,-407.7328708914779,-104.69959085721585,250.09445539256,489.6481746613339,,,,,,,,,,,,,,,,,,,
