airfoil_id,zone,Re,roughness_mode,alpha_deg,cl,cd,cm,converged,status,warning_flags,branch_label,raw_source
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-3.5,0.139619927,0.0218416853,-0.119281388,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-3.25,0.169786388,0.0209289664,-0.119799926,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-3,0.199274425,0.0204633408,-0.120241426,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-2.75,0.227803794,0.0202839137,-0.12050833,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-2.5,0.255994522,0.0201913218,-0.120724639,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-2.25,0.284008578,0.02014085,-0.120914243,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-2,0.311869088,0.0201216467,-0.121084711,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-1.75,0.339601089,0.0201264578,-0.121235636,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-1.5,0.367295741,0.0201509583,-0.121389869,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-1.25,0.394781654,0.020193103,-0.121508193,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-1,0.422169703,0.0202509448,-0.121613295,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-0.75,0.449453669,0.0203233822,-0.121705697,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-0.5,0.476612615,0.0204107929,-0.121780143,True,ok,,prestall,phase7_1_focused_rerun
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,100000,rough,-0.25,0.503646008,0.0205115615,-0.121838835,True,ok,,prestall,phase7_1_focused_rerun
