spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
rear,36,10.474257,7.95261509e-04,-4.48064683e-02,7.86991673e-01,-1.54063888e-01,-4.90028627e-01,-3.26370559e-02
rear,37,10.765208,1.61803523e-03,-4.79650756e-02,8.34089224e-01,-1.46305195e-01,-4.94333765e-01,-3.13444928e-02
rear,38,11.056160,2.01885758e-03,-5.10256493e-02,8.79507861e-01,-1.42295599e-01,-4.98321215e-01,-3.61586155e-02
rear,39,11.347111,1.91415915e-03,-5.40612731e-02,9.24317773e-01,-1.41890166e-01,-5.02758041e-01,-3.54504405e-02
rear,40,11.638063,1.98528614e-03,-5.71240587e-02,9.69552453e-01,-1.44973252e-01,-5.07216411e-01,-3.56135680e-02
rear,41,11.929015,1.95863971e-03,-6.02872966e-02,1.01620870e+00,-1.51419024e-01,-5.11684227e-01,-3.67894258e-02
rear,42,12.219966,2.36768551e-03,-6.40473381e-02,1.06526099e+00,-1.59269943e-01,-5.15400595e-01,-4.24594400e-02
rear,43,12.510918,2.43637855e-03,-6.81889470e-02,1.11654892e+00,-1.65732085e-01,-5.19091979e-01,-4.37531833e-02
rear,44,12.801869,2.49577350e-03,-7.24607360e-02,1.16941203e+00,-1.69877031e-01,-5.22863007e-01,-4.32017199e-02
rear,45,13.092821,2.80973802e-03,-7.68006372e-02,1.22315783e+00,-1.71578875e-01,-5.26560445e-01,-4.26832994e-02
rear,46,13.383773,4.41075581e-03,-8.11232219e-02,1.27705603e+00,-1.70692924e-01,-5.30747001e-01,-3.50689969e-02
rear,47,13.674724,3.35698793e-03,-8.53644882e-02,1.32962785e+00,-1.63129995e-01,-5.28227274e-01,-5.70503178e-02
rear,48,13.965676,1.68788257e-03,-8.94618544e-02,1.38015291e+00,-1.56652923e-01,-5.28916274e-01,-3.92358139e-02
rear,49,14.256627,2.65540937e-03,-9.36466128e-02,1.42915426e+00,-1.51287736e-01,-5.28016018e-01,-4.49500708e-02
rear,50,14.547579,2.88661141e-03,-9.79078353e-02,1.47685250e+00,-1.46886960e-01,-5.27475446e-01,-4.78993633e-02
rear,51,14.838530,2.85681887e-03,-1.02076632e-01,1.52339638e+00,-1.43353537e-01,-5.27324607e-01,-4.67610089e-02
rear,52,15.129482,2.99430510e-03,-1.06162338e-01,1.56902727e+00,-1.40603253e-01,-5.27091088e-01,-4.67937683e-02
rear,53,15.420434,3.06998002e-03,-1.10190407e-01,1.61395814e+00,-1.38536620e-01,-5.26841761e-01,-4.72212875e-02
rear,54,15.711385,3.54915465e-03,-1.14423425e-01,1.65873288e+00,-1.37055973e-01,-5.26554047e-01,-4.94183915e-02
rear,55,16.002337,3.69714218e-03,-1.18665005e-01,1.70318793e+00,-1.36058706e-01,-5.26426412e-01,-5.01401375e-02
rear,56,16.293288,3.79325992e-03,-1.22889656e-01,1.74741124e+00,-1.35448782e-01,-5.26407551e-01,-4.98467813e-02
rear,57,16.584240,4.68441032e-03,-1.27386769e-01,1.79252088e+00,-1.35131548e-01,-5.26395154e-01,-4.97655474e-02
rear,58,16.875191,5.12031700e-03,-1.31914329e-01,1.83762286e+00,-1.35022839e-01,-5.26038103e-01,-5.32720275e-02
rear,59,17.166143,5.15420584e-03,-1.36458214e-01,1.88270622e+00,-1.34995742e-01,-5.26107934e-01,-5.25691822e-02
